Company,Address 1,Address 2,ZIP Code,City,Region,Country,Phone,Contact,Website,Responsive,Email,Facebook,Twitter,GooglePlus,Linkedin,Keyword,Industry
Royal Masala,5 Elmbank Terrace,,AB24 3PW,Aberdeen,,UK,01224 642731,,http://www.royal-massala-tandoori.co.uk,,,,http://twitter.com/?status=Royal Masala Tandoori Takeaway is a great Indian takeaway in Aberdeen.Check out their website: http://www.royal-massala-tandoori.co.uk/,,,take away,Take-aways
Snappy Tomato Pizza,"3b Kingswells Village Centre, Kingswells Avenue",,AB15 8TG,Aberdeen,,UK,01224 744992,,http://www.snappytomatopizza.co.uk/site/restaurant/details/10,,,,,,,take away,Take-aways
Shawarma Ltd,Unit 5 Cornhill Shopping Arcade,,AB16 5UT,Aberdeen,,UK,01224 693328,,http://www.shawarmaonline.co.uk,,,,,,,take away,Take-aways
Truffelos,18 Regent Quay,,AB11 5AH,Aberdeen,,UK,01224 455284,,http://www.truffelos.com,,fin@truffelos.com,,,,,take away,Take-aways
Shri Bheema's Indian Restaurant,"15-17, Belmont St",,AB10 1JR,Aberdeen,,UK,01224 645555,,http://www.shribheemas.co.uk,,shribheemas@gmail.com,https://www.facebook.com/ShriBheemasIndianRestaurant/,https://twitter.com/shribheemas,,,take away,Take-aways
Royal Crown Chinese Take Away,9 Crombie Rd,,AB11 9QQ,Aberdeen,,UK,01224 898827,,,,,,,,,take away,Take-aways
The Blue Elephant Tandoori Restaurant & Take Away,299-303 George St,,AB25 1EP,Aberdeen,,UK,01224 639000,,http://www.blueelephantaberdeen.co.uk,,theblueelephantaberdeen@gmail.com,,,,,take away,Take-aways
Slow Boat Take Away,138 Hardgate,,AB11 6YU,Aberdeen,,UK,01224 590505,,http://www.slowboattakeaway-aberdeen.co.uk,,,,,,,take away,Take-aways
Subway,Guild Street,,AB11 6GR,ABERDEEN,,UK,01224 592281,,http://www.subway.co.uk,,,,,,,take away,Take-aways
Jade Chinese Take Away,27 Clifton Rd,,AB24 4RZ,Aberdeen,,UK,01224 487474,,,,,,,,,take away,Take-aways
Benugo,George Street,,AB25 1BN,ABERDEEN,,UK,,,http://www.benugo.com,,,https://www.facebook.com/benugocafedeli,https://twitter.com/benugo,,https://www.linkedin.com/company/491992/,take away,Take-aways
Pret a Manger,234 Union Street,,AB10 1TL,ABERDEEN,,UK,020 7932 5468,,http://www.pret.com,,,https://www.facebook.com/pretamanger,https://twitter.com/pret,,,take away,Take-aways
Yu Restaurant,347 Union St,,AB11 6BT,Aberdeen,,UK,01224 580318,,http://www.yurestaurant.co.uk,,,,,,,take away,Take-aways
Chung Hwa,473 Great Northern Rd,,AB24 2BD,Aberdeen,,UK,01224 488255,,,,,,,,,take away,Take-aways
The Tastie Tattie,22 Upperkirkgate,,AB10 1BA,Aberdeen,,UK,01224 640448,,,,,,,,,take away,Take-aways
Fusion Takeaway,573 Holburn St,,AB10 7LH,Aberdeen,,UK,01224 595666,,,,,,,,,take away,Take-aways
To Buy Fish & Chips,7-9 Langstane Place,,AB11 6DX,Aberdeen,,UK,01224 379660,,http://www.tobuyfishandchips.co.uk,,,,http://twitter.com/?status=To Buy Fish & Chips is a great Fish & Chips takeaway in Aberdeen.Check out their website: http://www.tobuyfishandchips.co.uk/,,,take away,Take-aways
