Company,Address 1,Address 2,ZIP Code,City,Region,Country,Phone,Contact,Website,Responsive,Email,Facebook,Twitter,GooglePlus,Linkedin,Keyword,Industry
Fuel Juice Bars Ltd,"Unit 12b, Bon Accord Centre, George St",,AB25 1HZ,Aberdeen,,UK,01224 623020,,http://www.fueljuicebar.com,,,,,,,bars,Bars
Lollita Wine Bars,87 Urquhart Terrace,,AB24 5NJ,Aberdeen,,UK,0845 463 5204,,,,,,,,,bars,Bars
Spin,10 Littlejohn Street,,AB10 1FF,ABERDEEN,,UK,01224 649114,,http://www.spinvin.co.uk,,,,,,,bars,Bars
Eclectic Fizz Champagne Bar,150 Union St,,AB10 1QX,Aberdeen,,UK,01224 641685,,http://www.eclecticfizz.co.uk,,reservations@eclecticfizz.co.uk,,,,,bars,Bars
Brentwood Hotel,101 Crown St,,AB11 6HH,Aberdeen,,UK,01224 454516,,http://www.brentwood-hotel.co.uk,,reservations@brentwood-hotel.co.uk,,,,,bars,Bars
Krakatoa,5 Trinity Quay,,AB11 5AA,ABERDEEN,,UK,,,,,,,,,,bars,Bars
The Adelphi Kitchen,28 Adelphi,,AB11 5BL,ABERDEEN,,UK,01224 211414,,http://www.cranberryco.com/,,marketing@cranberryco.com,https://www.facebook.com/CranberryCoABDN,https://twitter.com/Cranberry_Co,,,bars,Bars
Tonik Bar,"10 The Galleria, Langstane Place",,AB11 6FB,Aberdeen,,UK,01224 574237,,http://www.tonik-bar.com,,,,,,,bars,Bars
Scottish Embassy,4 Trinity Street,,AB11 5LY,ABERDEEN,,UK,,,,,,,,,,bars,Bars
Brewdog,17 Gallowgate,,AB25 1EB,ABERDEEN,,UK,01224 631223,,http://www.brewdog.com,,,,,,,bars,Bars
Inntro Bar,Guild Street,,AB11 5RG,ABERDEEN,,UK,0870 410 0800,,http://www.jurysinns.com,,,,,,,bars,Bars
Molly's Bistro Bar,43-45 Market Street,,AB11 5EL,ABERDEEN,,UK,01224 565536,,http://www.aberdeendouglas.com,,reservations@aberdeendouglas.com,https://www.facebook.com/aberdeendouglas,https://twitter.com/aberdeendouglas,https://plus.google.com/+AberdeenDouglasHotel,,bars,Bars
Rye & Soda Restaurant & Wine Bar,17 The Academy Belmont St,,AB10 1LB,Aberdeen,,UK,01224 643338,,http://www.ryeandsoda.com,,events@10dollarshake.com,https://www.facebook.com/ryeandsoda,https://www.twitter.com/ryeandsoda,,,bars,Bars
Cooper's Bar,43 John Street,,AB25 1BT,ABERDEEN,,UK,,,,,,,,,,bars,Bars
Casc Bar,7 Stirling St,,AB11 6ND,Aberdeen,,UK,01224 212373,,http://www.cascbar.co.uk,,,https://www.facebook.com/cascbar/,https://twitter.com/cascbar,,,bars,Bars
Saltoun Arms,69 Frederick Street,,AB24 5HY,ABERDEEN,,UK,,,,,,,,,,bars,Bars
Peep Peeps Bar,11 Commerce Street,,AB11 5EU,ABERDEEN,,UK,01224 583223,,,,,,,,,bars,Bars
Carriages,101 Crown Street,,AB11 6HH,ABERDEEN,,UK,,,,,,,,,,bars,Bars
Ninety,1 Back Wynd,,AB10 1JN,ABERDEEN,,UK,01224 631640,,,,,,,,,bars,Bars
Enigma Bar,"Unit 17, The Academy Centre",,AB10 1LB,Aberdeen,,UK,01224 472697,,,,,,,,,bars,Bars
Campus,17-19 Windmill Brae,,AB11 6HU,ABERDEEN,,UK,01224 587594,,,,,,,,,bars,Bars
Kirkgate Bar,18 Upperkirkgate,,AB10 1BA,Aberdeen,,UK,01224 640515,,,,,,,,,bars,Bars
Halo Aberdeen,7 Crown St,,AB10 6HA,Aberdeen,,UK,01224 571475,,,,,,,,,bars,Bars
Excite The Enthusiast,2 Guild Street,,AB11 6NE,ABERDEEN,,UK,,,,,,,,,,bars,Bars
Paramount Bar,23-25 Bon Accord St,,AB11 6EA,Aberdeen,,UK,01224 590500,,http://www.paramountbar.co.uk,,,https://www.facebook.com/ParamountBarAberdeen/,http://twitter.com/paramountabdn,,,bars,Bars
Bridge Street Social Club,18 Bridge Street,,AB11 6JJ,ABERDEEN,,UK,01224 582828,,,,,,,,,bars,Bars
Cheerz Bar & Club Aberdeen,11 Hadden St,,AB11 6NU,Aberdeen,,UK,01224 582648,,http://www.cheerzbar.co.uk,,,https://www.facebook.com/CHEERZBAR/,https://twitter.com/cheerzABDN,,,bars,Bars
Doric Bar,174-194 Union Street,,AB10 1QS,ABERDEEN,,UK,01224 641122,,,,,,,,,bars,Bars
The Wig Bar & Kitchen,55 Castle St,,AB11 5BA,Aberdeen,,UK,01224 590118,,,,,,,,,bars,Bars
The Kings Arms,97 King Street,,AB24 5AB,ABERDEEN,,UK,01224 630057,,,,,,,,,bars,Bars
Poldino's Ristorante & Pizzeria,7 Little Belmont St,,AB10 1JG,Aberdeen,,UK,01224 647777,,http://www.poldinos.co.uk,,,https://www.facebook.com/Poldinos,,,,bars,Bars
The Locker Room,47 Market Street,,AB11 5PZ,Aberdeen,,UK,01224 455795,,http://www.lockerroomaberdeen.co.uk/,,,http://www.facebook.com/#!/AberdeenLockerRoom,https://twitter.com/#!/LockerRoom_AB,,,bars,Bars
6Degrees North,6 Littlejohn St,,AB10 1FF,Aberdeen,,UK,01224 379192,,http://www.6degreesnorth.co.uk,,,,,,,bars,Bars
Merchant Bistro,19 Correction Wynd,,AB10 1HP,ABERDEEN,,UK,01224 636676,,,,,,,,,bars,Bars
Regent Bridge Bar,30 Regent Quay,,AB11 5AH,Aberdeen,,UK,01224 581140,,,,,,,,,bars,Bars
The Market Arms,13 Hadden Street,,AB11 6NU,ABERDEEN,,UK,01224 582998,,,,,,,,,bars,Bars
Espionage,120 Union St,,AB10 1JJ,Aberdeen,,UK,01224 561006,,http://www.espionage007.co.uk,,,https://facebook.com/EspionageEdin,https://twitter.com/EspionageEdin,,,bars,Bars
Wilsons Sports Bar,19 Market St,,AB11 5PY,Aberdeen,,UK,01224 581276,,,,,,,,,bars,Bars
Prohibition Bar,31 Langstane Place,,AB11 6EN,Aberdeen,,UK,01224 625555,,,,,,,,,bars,Bars
Portal's Bar,17 Castle St,,AB11 5BQ,Aberdeen,,UK,01224 624303,,,,,,,,,bars,Bars
Gilcomston Bar,5 Gilcomston Steps,,AB25 1UW,Aberdeen,,UK,01224 645781,,,,,,,,,bars,Bars
The Castle Bar,19 Castle St,,AB11 5BQ,Aberdeen,,UK,01224 644976,,,,,,,,,bars,Bars
Rileys Aberdeen,9 Bridge Place,,AB11 6HZ,Aberdeen,,UK,01244 591542,,http://www.rileys.co.uk,,mjkier88@gmail.com,https://www.facebook.com/clubrileys,https://twitter.com/clubrileys,https://plus.google.com/102714069287265623918,,bars,Bars
The Carlton Bar,32 Castle St,,AB11 5BB,Aberdeen,,UK,01224 588421,,,,,,,,,bars,Bars
The City Bar & Diner,37-39 Netherkirkgate,,AB10 1AU,Aberdeen,,UK,01224 649592,,,,,,,,,bars,Bars
Anchorage Bar,210 Market St,,AB11 5PQ,Aberdeen,,UK,01224 591200,,,,,,,,,bars,Bars
PizzaExpress,"Caberstone House, 47, Belmont St",,AB10 1JS,Aberdeen,,UK,01224 620128,,http://www.pizzaexpress.com,,,https://www.facebook.com/pizzaexpress,https://twitter.com/pizzaexpress,,,bars,Bars
Balaclava Bar,31 Loch St,,AB25 1DH,Aberdeen,,UK,01224 642143,,,,,,,,,bars,Bars
MIM,13 Crown St,,AB11 6HA,Aberdeen,,UK,01224 583866,,http://www.mimlounge.com,,,,,,,bars,Bars
Ye Olde Frigate Bar,57 Netherkirkgate,,AB10 1AU,Aberdeen,,UK,01224 640505,,,,,,,,,bars,Bars
Vulture Lounge,35 Rosemount Viaduct,,AB25 1NE,ABERDEEN,,UK,,,,,,,,,,bars,Bars
Fittie Bar,18 Wellington St,,AB11 5BT,Aberdeen,,UK,01224 582911,,,,,,,,,bars,Bars
The Old School House,Little Belmont St,,AB10 1JG,Aberdeen,,UK,01224 626490,,http://www.belhavenpubs.co.uk,,,https://www.facebook.com/belhavenbrewery,,,,bars,Bars
The Snuggery Bar,13-15 Market St,,AB11 5PY,Aberdeen,,UK,01224 580267,,,,,,,,,bars,Bars
East Neuk Bar & Lounge,132 King St,,AB24 5BD,Aberdeen,,UK,01224 639192,,,,,,,,,bars,Bars
Dr Noodles,345 Union Street,,AB11 6BS,ABERDEEN,,UK,01224 586779,,,,,,,,,bars,Bars
Scotia Bar,7-11 Summerfield Terrace,,AB24 5JB,Aberdeen,,UK,01224 644956,,,,,,,,,bars,Bars
No. 10 Bar & Restaurants,10 Queens Terrace,,AB10 1XL,Aberdeen,,UK,01224 631928,,http://www.no10aberdeen.co.uk,,,https://www.facebook.com/No.10Aberdeen,https://twitter.com/No10Aberdeen,,,bars,Bars
The Neptune Bar,7-9 York St,,AB11 5DL,Aberdeen,,UK,01224 582861,,,,,,,,,bars,Bars
The Moorings Bar,2 Trinity Quay,,AB11 5AA,Aberdeen,,UK,01224 587602,,http://www.mooringsbar.co.uk,,,,,,,bars,Bars
Wagleys Bar Lounge,35 Exchange St,,AB11 6PH,Aberdeen,,UK,01224 583335,,,,,,,,,bars,Bars
The Triplekirks,Schoolhill,,AB10 1JT,Aberdeen,,UK,01224 619920,,http://www.social-squirrel.com/thetriplekirksaberdeen,,,http://www.facebook.com/triplekirks,http://www.twitter.com/triplekirks,,,bars,Bars
Northern Bar,325 George St,,AB25 1EE,Aberdeen,,UK,01224 636973,,http://www.belhavenpubs.co.uk,,,https://www.facebook.com/belhavenbrewery,,,,bars,Bars
Malones,Shiprow,,AB11 5BZ,Aberdeen,,UK,01224 565557,,http://www.malonesaberdeen.com,,,,,,,bars,Bars
Las Iguanas,Market Street,,AB11 5RG,ABERDEEN,,UK,01224 594088,,http://www.iguanas.co.uk,,,,,,,bars,Bars
Restaurant 21,21 Market St,,AB11 5PY,Aberdeen,,UK,01224 212224,,http://www.roxhotel.com,,,https://www.facebook.com/pages/Rox-Hotel/110829599003752?fref=ts,https://twitter.com/rox_hotel,,,bars,Bars
Lorne Bar,4 Trinity St,,AB11 5LY,Aberdeen,,UK,01224 583270,,,,,,,,,bars,Bars
The Adams,"145 Holburn Street, Mannofield",,AB10 6BN,ABERDEEN,,UK,01224 587932,,,,,,,,,bars,Bars
The Prince of Wales Bar,7 St. Nicholas Lane,,AB10 1HF,Aberdeen,,UK,01224 640597,,http://www.belhavenpubs.co.uk,,,https://www.facebook.com/belhavenbrewery,,,,bars,Bars
Cafe D'ag,25 Crown St,,AB11 6HA,Aberdeen,,UK,01224 581177,,,,,,,,,bars,Bars
Cafe Andaluz,271 Union St(Entrance on Bon Accord St),,AB11 6BR,Aberdeen,,UK,01224 581100,,,,,,,,,bars,Bars
Bridge Bar,6 Bridge St,,AB11 6JJ,Aberdeen,,UK,01224 588182,,,,,,,,,bars,Bars
Siberia Wodka Bar,9 Belmont St,,AB10 1JR,Aberdeen,,UK,01224 648000,,,,,,,,,bars,Bars
O'Neills Irish Pubs,"9-10, Back Wynd",,AB10 1JN,Aberdeen,,UK,01224 622693,,http://www.oneills.co.uk,,,http://www.facebook.com/oneillspubs,http://www.twitter.com/oneillspubs,,,bars,Bars
The Holburn,225 Holburn St,,AB10 6BL,Aberdeen,,UK,01224 211941,,http://www.belhavenpubs.co.uk,,,https://www.facebook.com/belhavenbrewery,,,,bars,Bars
The Glentanar Bar,39 Holburn St,,AB10 6BS,Aberdeen,,UK,01224 581417,,,,,,,,,bars,Bars
St. Machar Bar,97 High St,,AB24 3EN,Aberdeen,,UK,01224 483079,,,,,,,,,bars,Bars
Masada Bar & Rusty Nail Lounge,69 Rosemount Viaduct,,AB25 1NR,Aberdeen,,UK,01224 641587,,,,,,,,,bars,Bars
Grampian Bar,23-25 Victoria Rd,,AB11 9LS,Aberdeen,,UK,01224 872909,,http://www.thespiritgroup.com,,,https://www.facebook.com/GreeneKingIPA1799/?ref=br_rs,https://twitter.com/greeneking,,https://www.linkedin.com/company/greeneking,bars,Bars
