Company,Address 1,Address 2,ZIP Code,City,Region,Country,Phone,Contact,Website,Responsive,Email,Facebook,Twitter,GooglePlus,Linkedin,Keyword,Industry
Alison Kirk Bridal,,PH2,,Perth,,UK,01738 447907,,http://www.alisonkirk.co.uk,,,https://www.facebook.com/AlisonKirkBridal?fref=ts,https://twitter.com/AlisonKirkBrida,https://plus.google.com/111672922975579695390/about?hl=en,,bridal wear,Bridal wear
Perfect Bridal Rooms,"265-267, Holburn St",,AB10 7FL,Aberdeen,,UK,01224 574141,,http://www.perfectbridalrooms.com,,info@perfectbridalrooms.com,https://www.facebook.com/Perfect-Bridal-Rooms-147081385342050/,https://twitter.com/awaller1110,,,bridal wear,Bridal wear
Brides Delight,68-70 Rosemount Viaduct,,AB25 1NU,Aberdeen,,UK,01224 625999,,http://www.bridesdelight.co.uk,,info@bridesdelight.co.uk,https://www.facebook.com/pages/Brides-Delight/151444994890491,https://twitter.com/bridesdelight,,,bridal wear,Bridal wear
Brides et al,120 Crown St,,AB11 6HJ,Aberdeen,,UK,01224 592974,,,,,,,,,bridal wear,Bridal wear
Orlaya Bridal,"7 The Galleria, Langstane Place",,AB11 6FB,Aberdeen,,UK,01224 917139,,http://www.orlayabridal.co.uk,,,,,,,bridal wear,Bridal wear
King's Stitch Alterations,326 King St,,AB24 5BJ,Aberdeen,,UK,01224 943951,,,,,,,,,bridal wear,Bridal wear
Perfect Outlet,263 Holburn Street,,AB10 7FL,ABERDEEN,,UK,01224 213806,,,,,,,,,bridal wear,Bridal wear
Aberdeen Bridal Alterations,"Flat 17, Mill House, Grandholm Crescent",,AB22 8BB,Aberdeen,,UK,0844 3302035,,,,,,,,,bridal wear,Bridal wear
Aberdeen Wedding Shop,669a George St,,AB25 3XP,Aberdeen,,UK,01224 644644,,http://www.aberdeenweddingshop.co.uk,,,,,,,bridal wear,Bridal wear
Thistle Alterations,36 Chapel St,,AB10 1SP,Aberdeen,,UK,01224 379651,,,,,,,,,bridal wear,Bridal wear
Decadent Details Tiaras,25 Cassie Close,,AB12 3WE,Aberdeen,,UK,01224 898611,,,,,,,,,bridal wear,Bridal wear
Relove Bridal,11 Broadshade Rd,,AB32 6AR,Westhill,,UK,07557 783506,,http://www.relovebridal.co.uk?utm_source=yell&utm_medium=referral&utm_campaign=yell,,,https://www.facebook.com/ReloveBridal/,,,,bridal wear,Bridal wear
Angels Halos Hair Accessories,"The Studio, 2, Concraig Park",,AB15 8DH,Aberdeen,,UK,01224 279593,,http://www.angelshalos.biz,,,,,,,bridal wear,Bridal wear
White Angel Dove Release,Checkbar Croft,,AB12 4LP,Aberdeen,,UK,01224 780664,,,,,,,,,bridal wear,Bridal wear
OUR DAY,"5 Millgrove Rd,Stoneywood",,AB21 9HW,Aberdeen,,UK,01224 715435,,http://www.ourdayweddingshop.co.uk,,,,,,,bridal wear,Bridal wear
The Bridal Boutique,267 North Deeside Rd,,AB14 0UL,Peterculter,,UK,01224 733344,,http://www.thebridalboutiqueaberdeen.com,,,,,,,bridal wear,Bridal wear
A Big Day,Spital Croft,,AB51 0LH,Inverurie,,UK,01651 882384,,,,,,,,,bridal wear,Bridal wear
Delphine Alexander Bridal Wear Ltd,,LU1,,Luton,,UK,01582 400664,,http://www.delphinealexander.co.uk,,info@delphinealexander.co.uk,https://www.facebook.com/www.delphinealexander.co.uk/?fref=ts,,,,bridal wear,Bridal wear
Cerimonia Ltd,23 George St,,AL3 4ES,St. Albans,,UK,01727 837230,,http://www.cerimonia.co.uk,,info@cerimonia.co.uk,https://www.facebook.com/Cerimonia-907356312633876/,https://twitter.com/CerimoniaStyle,,,bridal wear,Bridal wear
Perfection Bridal & Menswear,26 London Rd,,AL1 1NG,St. Albans,,UK,01727 833073,,http://www.perfectionstalbans.co.uk,,,,,,,bridal wear,Bridal wear
Stitch To Fit,58 Holywell Hill,,AL1 1BX,St. Albans,,UK,01727 530029,,,,,,,,,bridal wear,Bridal wear
Andrianne Bridal & Evening Wear Couture,7 Firbank Rd,,AL3 6NA,St. Albans,,UK,01727 865102,,,,,,,,,bridal wear,Bridal wear
The Bridal Rack,"Unit 4, 181a, Verulam Road",,AL3 4DR,St. Albans,,UK,07742 597268,,,,,,,,,bridal wear,Bridal wear
