Company,Address 1,Address 2,ZIP Code,City,Region,Country,Phone,Contact,Website,Responsive,Email,Facebook,Twitter,GooglePlus,Linkedin,Keyword,Industry
Happy Plant Gift & Garden Centre,Mintlaw,AB42,,Peterhead,,UK,01771 623344,,http://www.happyplant.co.uk/coffee-shop,,office@happyplant.co.uk,https://www.facebook.com/pages/Happy-Plant-gift-and-Garden-Centre/107463665952222?rf=110177232478570,,https://plus.google.com/u/6/111614654486090237838,,cafe,Cafes
Union Cafe & Bistro,21 Union Street,,AB11 5BU,ABERDEEN,,UK,,,,,,,,,,cafe,Cafes
MID cafe Bella,Aberdeen Market,,AB11 5PA,Aberdeen,,UK,01224 575576,,,,,,,,,cafe,Cafes
Madame Mews Thai Cafe,Aberdeen Market,,AB11 5PA,Aberdeen,,UK,01224 460211,,,,,,,,,cafe,Cafes
The Cat in the Window Cafe,14 Netherkirkgate,,AB10 1AU,Aberdeen,,UK,01224 467557,,http://www.thecatinthewindowcafe.com,,,,,,,cafe,Cafes
Costa Coffee,31 Loch St,,AB25 1DF,Aberdeen,,UK,01224 645504,,http://www.costa.co.uk,,,https://www.facebook.com/CostaCoffee,https://twitter.com/#!/CostaCoffee,,,cafe,Cafes
The Old St. Clements Cafe,27 St. Clement St,,AB11 5FU,Aberdeen,,UK,01224 582558,,,,,,,,,cafe,Cafes
Dublin Dave's Coffee Dock,275-277 George St,,AB25 1ED,Aberdeen,,UK,01224 561855,,http://www.facebook.com/davescoffeedock/,,,https://www.facebook.com/policies/cookies/,,,,cafe,Cafes
Cafe @ Credo,14-20 John Street,,AB25 1BT,ABERDEEN,,UK,01224 636055,,,,,,,,,cafe,Cafes
Bravo Deli Cafe Ltd,24 John St,,AB25 1BT,Aberdeen,,UK,01224 639061,,http://www.bravodelicafe.com,,,,,,,cafe,Cafes
Characters Cafe Bar,43 Regent Quay,,AB11 5BE,Aberdeen,,UK,01224 582712,,,,,,,,,cafe,Cafes
Bite Me,73 Skene St,,AB10 1QD,Aberdeen,,UK,01224 611665,,,,,,,,,cafe,Cafes
Tea Zone,1-3 Justice Street,,AB11 5HU,ABERDEEN,,UK,,,,,,,,,,cafe,Cafes
Starbucks Coffee Co (Uk) Ltd,2-4 Upperkirkgate,,AB10 1BA,Aberdeen,,UK,01224 635223,,http://www.starbucks.co.uk,,ukinfo@starbucks.com,http://www.facebook.com/starbucksuk,http://www.twitter.com/starbucksuk,,,cafe,Cafes
M & S Cafe,Guild Street,,AB11 5PF,ABERDEEN,,UK,,,http://www.marksandspencer.com,,,//www.facebook.com/MarksandSpencer,//www.twitter.com/marksandspencer,//plus.google.com/+marksandspencer,,cafe,Cafes
Sweet Mummas Kitchen,Arch 11 Palmerston Rd,,AB11 5RE,Aberdeen,,UK,01224 591533,,,,,,,,,cafe,Cafes
The Music Club,"52-54, Langstane Place",,AB11 6EN,Aberdeen,,UK,01224 676000,,http://www.themusicclub.co.uk,,,,,,,cafe,Cafes
Mad Penguin,47 Netherkirkgate,,AB10 1AU,ABERDEEN,,UK,01224 561758,,,,,,,,,cafe,Cafes
Mojo Coffee & Food House,281 George St,,AB25 1ED,Aberdeen,,UK,01224 652360,,,,,,,,,cafe,Cafes
Cafe Bar Caley,10-14 Union Terrace,,AB10 1WE,ABERDEEN,,UK,0870 333 9151,,http://www.thistlehotels.com,,data.protection@glhhotels.com,http://www.facebook.com/thistlehotels,http://www.twitter.com/thistlehotels,https://plus.google.com/117798503854573593295/posts,,cafe,Cafes
Bonobo Cafe,75 Skene Street,,AB10 1QD,ABERDEEN,,UK,,,http://www.bonobotribe.co.uk,,,,,,,cafe,Cafes
Greggs,55 Union St,,AB11 5BJ,Aberdeen,,UK,01224 589923,,http://www.greggs.co.uk,,,,,,,cafe,Cafes
Cafe Vitamin,Trinity Centre Union Street,,AB11 6BE,Aberdeen,,UK,01224 594255,,http://www.cafevitamin.co.uk,,,https://www.facebook.com/CafeVitamin.Aberdeen/,https://twitter.com/cafevitamin2,https://plus.google.com/u/0/103095423274733314911/posts,,cafe,Cafes
Tempo Tea Bar,St Nicholas Street,,AB10 1HW,ABERDEEN,,UK,,,,,,,,,,cafe,Cafes
Costa Coffee,"3-7, Union Bridges, Trinity Centre",,AB11 6BG,Aberdeen,,UK,01224 213709,,http://www.costa.co.uk,,,https://www.facebook.com/CostaCoffee,https://twitter.com/#!/CostaCoffee,,,cafe,Cafes
Kirk View Cafe & Bistro,27-29 Union Terrace,,AB10 1NN,Aberdeen,,UK,01224 638388,,,,,,,,,cafe,Cafes
Fiona's & Yours Cafe,"79 Victoria Road, Torry",,AB11 9LU,ABERDEEN,,UK,,,,,,,,,,cafe,Cafes
Greggs,166-170 George St,,AB25 1BS,Aberdeen,,UK,01224 627361,,http://www.greggs.co.uk,,,,,,,cafe,Cafes
Greggs,"Unit 10, Trinity Centre",,AB11 6BE,Aberdeen,,UK,01224 572769,,http://www.greggs.co.uk,,,,,,,cafe,Cafes
Costa Coffee,"Unit 15, The Academy,Belmont St, Schoolhill",,AB10 1LB,Aberdeen,,UK,01224 649216,,http://www.costa.co.uk,,,https://www.facebook.com/CostaCoffee,https://twitter.com/#!/CostaCoffee,,,cafe,Cafes
Juice Master,Guild Street,,AB11 5RG,ABERDEEN,,UK,01224 254300,,http://www.juicemaster.com,,,,,,,cafe,Cafes
The Pier,Sea Beach,,AB24 5NR,ABERDEEN,,UK,01224 379940,,,,,,,,,cafe,Cafes
Costa Coffee,Guild St,,AB11 6GR,Aberdeen,,UK,01224 594071,,http://www.whitbread.com,,db@astfinancial.com,,https://twitter.com/WhitbreadPLC,,https://www.linkedin.com/company/whitbread,cafe,Cafes
Cup,9 Little Belmont St,,AB10 1JG,Aberdeen,,UK,01224 637730,,http://www.cupcafe.co.uk,,,,,,,cafe,Cafes
Starbucks Coffee Co (Uk) Ltd,Guild Square,,AB11 5RG,Aberdeen,,UK,01224 589142,,http://www.starbucks.co.uk,,ukinfo@starbucks.com,http://www.facebook.com/starbucksuk,http://www.twitter.com/starbucksuk,,,cafe,Cafes
Sand Dollar Cafe (Aberdeen) Ltd,"Esplanade, Sea Beach",,AB24 5NS,Aberdeen,,UK,01224 572288,,http://www.sanddollarcafe.com,,garry@sanddollarcafe.com,http://www.facebook.com/Sanddollar-Cafe-Aberdeen-181207935237259,,,,cafe,Cafes
Pavilion Cafe,"5-6 Esplanade, Sea Beach",,AB24 5NS,Aberdeen,,UK,01224 587385,,,,,,,,,cafe,Cafes
Coffee Republic,Links Road,,AB24 5EN,ABERDEEN,,UK,01224 591497,,http://www.coffeerepublic.co.uk,,,https://www.facebook.com/coffeerepublicuk,https://twitter.com/CoffeeRepublic,,,cafe,Cafes
Pumpkin,Guild Street,,AB11 6LX,ABERDEEN,,UK,01224 211589,,http://www.pumpkincafeshop.co.uk,,,,,,,cafe,Cafes
Muffin Break Aberdeen,2 East Mall Guild Square,,AB11 5RA,Aberdeen,,UK,01224 586990,,http://www.muffinbreak.co.uk,,,https://www.facebook.com/MuffinBreakUK,https://twitter.com/muffinbreakuk,,,cafe,Cafes
Richmond St Deli,65 Richmond St,,AB25 2TS,Aberdeen,,UK,01224 636598,,,,,,,,,cafe,Cafes
Wild Bean Cafe,North Esplanade West,,AB11 5RN,ABERDEEN,,UK,01224 586704,,http://www.wildbeancafe.com,,bpmeuk@bp.com,https://www.facebook.com/bpuk/,https://twitter.com/bp_UK,,https://www.linkedin.com/company/bp,cafe,Cafes
Food Story,13-15 Thistle Street,,AB10 1XZ,ABERDEEN,,UK,,,http://www.foodstorycafe.co.uk,,opportunities@foodstorycafe.co.uk,https://www.facebook.com/TheFoodstoryCafe,https://twitter.com/FoodstoryCoffee,,,cafe,Cafes
Tempo,George Street,,AB25 1UH,ABERDEEN,,UK,,,,,,,,,,cafe,Cafes
Caffe Nero,"452-456, Union St",,AB10 1TR,Aberdeen,,UK,01224 635520,,http://www.caffenero.com,,,https://www.facebook.com/caffenero,,,,cafe,Cafes
Greggs,Unit K2 Union Square,,AB11 5RA,Aberdeen,,UK,01224 590343,,http://www.greggs.co.uk,,,,,,,cafe,Cafes
Quality Treats,"464-466, Union St",,AB10 1TS,Aberdeen,,UK,01224 905905,,,,,,,,,cafe,Cafes
The Shack Coffee Shop,39 Rosemount Viaduct,,AB25 1NQ,ABERDEEN,,UK,,,,,,,,,,cafe,Cafes
Bagels & Stuff,40-42 Thistle St,,AB10 1XD,Aberdeen,,UK,01224 379760,,http://www.bagelsandstuff.com,,,https://www.facebook.com/bagelsandstuff/,https://twitter.com/BagelsStuff,,,cafe,Cafes
