Company,Address 1,Address 2,ZIP Code,City,Region,Country,Phone,Contact,Website,Responsive,Email,Facebook,Twitter,GooglePlus,Linkedin,Keyword,Industry
AA Driving School,,,,,,UK,0808 168 3861,,http://www.theaa.com/driving-school/driving-lessons/pupil-lessons-search.html,,,,,,,driving lessons,Driving Lessons
Amber Driver Training,15 Bressay Brae,,AB15 6WJ,Aberdeen,,UK,07769 656628,,http://www.amberdrivertraining.com,,info@amberdrivertraining.com,https://www.facebook.com/Amber-Driver-Training-155461417888657/,,https://plus.google.com/108119893798440334555,,driving lessons,Driving Lessons
Dave Shepherd School of Motoring,33 East Main Avenue,,AB16 6UX,Aberdeen,,UK,07875 588898,,http://www.ds4driving.com?utm_source=yell&utm_medium=referral&utm_campaign=yell,,,https://www.facebook.com/daveshepherddriving/,,,,driving lessons,Driving Lessons
Slains School of Motoring,102 Gordon Place,,AB23 8RB,Aberdeen,,UK,01224 821650,,http://www.slainsschoolofmotoring.co.uk,,dkeith047@googlemail.com,,,,,driving lessons,Driving Lessons
Drivetec School of Motoring,Elrick,AB32,,Westhill,,UK,01224 455021,,http://www.drivetecschoolofmotoringaberdeen.co.uk,,,,,,,driving lessons,Driving Lessons
Bill Plant Driving School,Tullynessle,AB33,,Alford,,UK,07557 952152,,,,,,,,,driving lessons,Driving Lessons
Mr David Hickman,106 Mastrick Rd,,AB16 5PN,Aberdeen,,UK,01224 695955,,,,,,,,,driving lessons,Driving Lessons
A.A Motor School,"Flat 3, 2, Roslin Place",,AB24 5NW,Aberdeen,,UK,01224 626464,,http://www.aamotorschool.co.uk,,,,,,,driving lessons,Driving Lessons
Red Driving School,36 Urquhart Rd,,AB24 5LT,Aberdeen,,UK,0330 332 2680,,http://www.reddrivingschool.com,,customerservices@go-red.co.uk,https://www.facebook.com/REDDrivingSchool,http://twitter.com/REDdriving,https://plus.google.com/117779922985765910303/about?partnerid=ogpy0,,driving lessons,Driving Lessons
Road,34 Grove Crescent,,AB16 5DW,Aberdeen,,UK,07894 035400,,,,,,,,,driving lessons,Driving Lessons
Lumsden Learners Driver Training,8 Polwarth Rd,,AB11 8DA,Aberdeen,,UK,07931 916257,,,,,,,,,driving lessons,Driving Lessons
Drive Smart Motoring,111 Newburgh Rd,,AB22 8SQ,Aberdeen,,UK,01224 953293,,http://www.drivesmartmotoring.com,,,,,,,driving lessons,Driving Lessons
A1 School of Motoring,2 Devonshire Rd,,AB10 6XR,Aberdeen,,UK,01224 321111,,,,,,,,,driving lessons,Driving Lessons
A Mini Driving School,10 Linksfield Rd,,AB24 5RU,Aberdeen,,UK,07738 663819,,http://www.mini-drivinglessons.co.uk,,,https://www.facebook.com/Right-Approach-Driver-Training-Automatic-Driving-Lessons-in-a-Mini-173182902699867/timeline/,,,,driving lessons,Driving Lessons
Red Driving School,20 Springbank Terrace,,AB11 6JY,Aberdeen,,UK,0330 332 2680,,http://www.reddrivingschool.com,,customerservices@go-red.co.uk,https://www.facebook.com/REDDrivingSchool,http://twitter.com/REDdriving,https://plus.google.com/117779922985765910303/about?partnerid=ogpy0,,driving lessons,Driving Lessons
