Company,Address 1,Address 2,ZIP Code,City,Region,Country,Phone,Contact,Website,Responsive,Email,Facebook,Twitter,GooglePlus,Linkedin,Keyword,Industry
Mathieson Financial Services Ltd,,AB51,,Inverurie,,UK,01467 672509,,http://www.mathieson-financial-services.co.uk/index.html#_ga=1.97171931.553985444.1474550561,,,,,https://plus.google.com/103069948111699887386,https://uk.linkedin.com/in/steven-mathieson-dippfs-7628b745,financial planners,Financial Planners
City Financial (Aberdeen) Ltd,27 Chapel St,,AB10 1SQ,Aberdeen,,UK,01224 472040,,http://www.city-financial.co.uk,,,,,,,financial planners,Financial Planners
The Strachan Partnership Ltd,,AB42,,Peterhead,,UK,0800 3894553,,http://www.tspifa.co.uk,,info@tspifa.co.uk,,,,,financial planners,Financial Planners
Bureau of Independent Financial Advice,85 Garthdee Rd,,AB10 7AY,Aberdeen,,UK,01224 455273,,,,,,,,,financial planners,Financial Planners
Devana Independent Financial Advisors Ltd,102 Holburn St,,AB10 6BY,Aberdeen,,UK,01224 774485,,http://devana-ifa.com,,,,,,,financial planners,Financial Planners
Optima Financial Services Ltd,2 Bon Accord Square,,AB11 6DJ,Aberdeen,,UK,01224 212128,,http://www.optima-fs.co.uk/,,enquiries@optima-fs.co.uk,,,,,financial planners,Financial Planners
Deeside Independent Financial Advice Ltd,Willowbank House Willowbank Rd,,AB11 6YG,Aberdeen,,UK,01224 332374,,http://www.deesideifa.co.uk,,,,,,,financial planners,Financial Planners
Medical & Dental Financial Planners,5 Rubislaw Terrace,,AB10 1XE,Aberdeen,,UK,01224 648811,,http://www.medicaldental.co.uk,,info@medicaldental.co.uk,,,,,financial planners,Financial Planners
Kilkee Financial Services,3 Carden Terrace,,AB10 1US,Aberdeen,,UK,01224 644669,,http://www.kilkee.co.uk,,,,,,,financial planners,Financial Planners
Peterkins Solicitors,100 Union Street,,AB10 1QR,Aberdeen,,UK,01224 455089,,http://www.peterkins.com,,lap@peterkins.com,https://www.facebook.com/PeterkinsSolicitors,https://twitter.com/PeterkinsNews,,http://www.linkedin.com/company/peterkins,financial planners,Financial Planners
Alban Associates Ltd,100 Crown St,,AB11 6HJ,Aberdeen,,UK,01224 584999,,http://www.albanassociates.co.uk,,,,,,,financial planners,Financial Planners
Opus Financial Consultants,102 Crown St,,AB11 6HJ,Aberdeen,,UK,01224 765350,,,,,,,,,financial planners,Financial Planners
North East Independent Financial Advice,231a Union Street,,AB11 6BZ,Aberdeen,,UK,01224 593123,,,,,,,,,financial planners,Financial Planners
McHardy Financial Ltd,13 Bon Accord Crescent,,AB11 6DE,Aberdeen,,UK,01224 578250,,http://www.mchb.co.uk,,enquiries@mchb.co.uk,https://www.facebook.com/McHardy-Financial-Aberdeen-1811972882359324,https://twitter.com/mchardy_fin,,https://www.linkedin.com/company/1245700,financial planners,Financial Planners
Kingsfold Financial Consultancy,"Cowdray, 102, Crown St",,AB11 6HJ,Aberdeen,,UK,01224 765361,,,,,,,,,financial planners,Financial Planners
AberdeenMoney.com,50 Chapel St,,AB10 1SN,Aberdeen,,UK,01224 659798,,http://www.aberdeenmoney.com,,,,,,,financial planners,Financial Planners
Futura Investments,"Victoria House, 259, Union St",,AB11 6BR,Aberdeen,,UK,01224 582185,,http://www.futurainvestments.co.uk,,info@futurainvestments.co.uk,,,,,financial planners,Financial Planners
Golden Square Wealth Management Ltd,"Johnstone House, 52-54, Rose St",,AB10 1HA,Aberdeen,,UK,01224 408550,,http://www.goldensquarewealth.com,,,,,,,financial planners,Financial Planners
Grampian Financial Advice Bureau,9 Dee Place,,AB11 6EF,Aberdeen,,UK,01224 581827,,,,,,,,,financial planners,Financial Planners
PricewaterhouseCoopers,431 Union St,,AB11 6DA,Aberdeen,,UK,01224 210100,,http://www.pwc.com,,,https://www.facebook.com/PwC,,,,financial planners,Financial Planners
Central Investment Services (Scotland) Ltd,9-13 Albert St,,AB25 1XX,Aberdeen,,UK,01224 657000,,http://www.centralinvestment.co.uk,,enquiries@centralinvestment.co.uk,,,,,financial planners,Financial Planners
Williams & Duxbury,"Suite B1, 5, Golden Square",,AB10 1RD,Aberdeen,,UK,01224 631333,,,,,,,,,financial planners,Financial Planners
Midas Financial Solutions Scotland Ltd,18 Little Belmont St,,AB10 1JG,Aberdeen,,UK,01224 649911,,http://www.midasfinancial.co.uk,,,,,,,financial planners,Financial Planners
Russell Gibson Financial Management,6 Albert St,,AB25 1XQ,Aberdeen,,UK,01224 264999,,http://www.russellgibson.co.uk,,info@russellgibson.co.uk,,,,,financial planners,Financial Planners
Fine Plan Ltd,"Cowdray House, 102, Crown St",,AB11 6HJ,Aberdeen,,UK,01224 765365,,,,,,,,,financial planners,Financial Planners
Robert Bell,"Cowdray House, 102, Crown St",,AB11 6HJ,Aberdeen,,UK,01224 765364,,,,,,,,,financial planners,Financial Planners
Carden Associates,"Willowbank House, Willowbank Rd",,AB11 6YG,Aberdeen,,UK,01224 587024,,http://www.cardenassociates-ifa.co.uk,,simon@jpmaxwell.co.uk,,,,,financial planners,Financial Planners
Steve Taylor & Co,"Cowdray House, 102, Crown St",,AB11 6HJ,Aberdeen,,UK,01224 765367,,,,,,,,,financial planners,Financial Planners
Carbon Financial Partners Ltd,20 Rubislaw Terrace,,AB10 1XE,Aberdeen,,UK,01224 633263,,http://www.carbonfinancial.co.uk,,,http://www.facebook.com/CarbonFP,https://twitter.com/twitterapi/status/973192708792692742,,https://www.linkedin.com/company/carbon-financial-partners-ltd,financial planners,Financial Planners
Albyn Associates Financial Management LLP,"50a, Chapel St",,AB10 1SN,Aberdeen,,UK,01224 649321,,http://www.albynassociates.co.uk,,,,,,,financial planners,Financial Planners
William A Mackie & Co Financial Services,8 St. Marys Place,,AB11 6HL,Aberdeen,,UK,01224 726960,,,,,,,,,financial planners,Financial Planners
Grant Smith Law Practice Ltd,252 Union St,,AB10 1TN,Aberdeen,,UK,01224 621620,,http://www.grantsmithlaw.co.uk,,info@grantsmithlaw.co.uk,,,,,financial planners,Financial Planners
City Gate Aberdeen Ltd,51 Chapel St,,AB10 1SS,Aberdeen,,UK,01224 590600,,http://www.citygateaberdeen.co.uk,,enquiries@citygateaberdeen.co.uk,,,,,financial planners,Financial Planners
My Financial Services Ltd,42 Carden Place,,AB10 1UQ,Aberdeen,,UK,01224 633700,,http://www.myfinancial.co.uk,,ricky@myfinancial.co.uk,,,,,financial planners,Financial Planners
PSFM Ltd,"Riverside House, Riverside Drive",,AB11 7LH,Aberdeen,,UK,01224 224440,,http://www.psfm.com,,,,,,http://www.linkedin.com/company/psfm-ltd,financial planners,Financial Planners
Focus Financial Advisory Ltd,53 Carden Place,,AB10 1UN,Aberdeen,,UK,01224 264945,,,,,,,,,financial planners,Financial Planners
Citri,72 Great Western Rd,,AB10 6QF,Aberdeen,,UK,01224 592736,,,,,,,,,financial planners,Financial Planners
Mattioli Woods plc,8 Queens Terrace,,AB10 1XL,Aberdeen,,UK,01224 652100,,http://www.mattioliwoods.com,,,https://www.facebook.com/MattioliWoods,https://twitter.com/MattioliWoods,https://plus.google.com/+mattioliwoods/posts,https://www.linkedin.com/company/mattioli-woods-plc,financial planners,Financial Planners
Buchan Wealth Management,3 Queens Gate,,AB15 5YL,Aberdeen,,UK,01224 202426,,http://www.buchanwm.co.uk,,,,,,,financial planners,Financial Planners
Carbon Financial Partners Ltd,7 Queens Gardens,,AB15 4YD,Aberdeen,,UK,01224 619215,,http://www.carbonfinancial.co.uk,,,http://www.facebook.com/CarbonFP,https://twitter.com/twitterapi/status/973192708792692742,,https://www.linkedin.com/company/carbon-financial-partners-ltd,financial planners,Financial Planners
Gregor Howitt Wealth Management,3 Queens Gate,,AB15 5YL,Aberdeen,,UK,01224 202438,,http://www.gregorhowitt.co.uk,,,,,,,financial planners,Financial Planners
Towry Ltd,7 Albyn Terrace,,AB10 1YP,Aberdeen,,UK,01224 615080,,http://www.towry.com,,,https://www.facebook.com/tilneygroup,https://twitter.com/tilneygroup,,https://www.linkedin.com/company/tilney-group,financial planners,Financial Planners
