Company,Address 1,Address 2,ZIP Code,City,Region,Country,Phone,Contact,Website,Responsive,Email,Facebook,Twitter,GooglePlus,Linkedin,Keyword,Industry
Gordon & Watson Funeral Directors,42 Upperkirkgate,,AB10 1BA,Aberdeen,,UK,01224 625858,,https://www.dignityfunerals.co.uk/funeral-directors/locations/scotland/aberdeenshire/aberdeen/42-upperkirkgate?utm_source=system&utm_medium=listings&utm_content=00477&utm_campaign=local_listings,,company.secretary@dignityuk.co.uk,,,,,funeral directors,Funeral Directors
MacIntosh & Steven Funeral Directors,18 Waverley Place,,AB10 1XH,Aberdeen,,UK,01224 625833,,https://www.dignityfunerals.co.uk/funeral-directors/locations/scotland/aberdeenshire/aberdeen/18-waverley-place?utm_source=system&utm_medium=listings&utm_content=00865&utm_campaign=local_listings,,company.secretary@dignityuk.co.uk,,,,,funeral directors,Funeral Directors
Gordon & Watson Funeral Directors,30 Rosebank Place,,AB11 6XP,Aberdeen,,UK,01224 580377,,https://www.dignityfunerals.co.uk/funeral-directors/locations/scotland/aberdeenshire/aberdeen/30-rosebank-place?utm_source=system&utm_medium=listings&utm_content=00004&utm_campaign=local_listings,,company.secretary@dignityuk.co.uk,,,,,funeral directors,Funeral Directors
Aberdeen Funeral Directors,49 Causewayend,,AB25 3TQ,Aberdeen,,UK,01224 625404,,https://www.dignityfunerals.co.uk/funeral-directors/locations/scotland/aberdeenshire/aberdeen/49-causewayend?utm_source=system&utm_medium=listings&utm_content=01333&utm_campaign=local_listings,,company.secretary@dignityuk.co.uk,,,,,funeral directors,Funeral Directors
Gordon & Watson Funeral Directors,133 King St,,AB24 5AE,Aberdeen,,UK,01224 642624,,https://www.dignityfunerals.co.uk/funeral-directors/locations/scotland/aberdeenshire/aberdeen/133-king-street?utm_source=system&utm_medium=listings&utm_content=00005&utm_campaign=local_listings,,company.secretary@dignityuk.co.uk,,,,,funeral directors,Funeral Directors
Abbotswell Funeral Home,26 Abbotswell Crescent,,AB12 5JW,Aberdeen,,UK,01224 876000,,http://www.shawfunerals.com,,,,,,,funeral directors,Funeral Directors
Portlethen Funeralcare,Leathan Fields,,AB12 4QS,ABERDEEN,,UK,0800 328 7083,,http://www.co-operativefuneralcare.co.uk,,crexec@coop.co.uk,,,,,funeral directors,Funeral Directors
Gordon & Watson Funeral Directors,283-285 Great Northern Rd,,AB24 2AE,Aberdeen,,UK,01224 277444,,https://www.dignityfunerals.co.uk/funeral-directors/locations/scotland/aberdeenshire/aberdeen/283-285-great-northern-road?utm_source=system&utm_medium=listings&utm_content=00511&utm_campaign=local_listings,,company.secretary@dignityuk.co.uk,,,,,funeral directors,Funeral Directors
Brian Smith Funeral Services Ltd,317 North Deeside Rd,,AB14 0UL,Peterculter,,UK,01224 732530,,,,,,,,,funeral directors,Funeral Directors
Tory Funeralcare,59-61 Victoria Rd,,AB11 9LT,Aberdeen,,UK,01224 894187,,http://funeralcare.coop.co.uk,,,,,,,funeral directors,Funeral Directors
McKay & Innes Ltd,154 North Deeside Road,,AB14 0UD,Peterculter,,UK,01224 730233,,,,,,,,,funeral directors,Funeral Directors
WM Gilchrist Funeralcare,"Bennachie House, 44-46, Rose St",,AB10 1UD,Aberdeen,,UK,01224 627272,,http://www.wmgilchristfuneraldirectors.co.uk,,crexec@coop.co.uk,,,,,funeral directors,Funeral Directors
Mark Shaw Funeral Services,26 Abbotswell Crescent,,AB12 5JW,Aberdeen,,UK,01224 877705,,,,,,,,,funeral directors,Funeral Directors
WM Gilchrist Funeralcare,20 Ellon Rd,,AB23 8BX,Aberdeen,,UK,01224 703395,,http://www.wmgilchristfuneraldirectors.co.uk,,crexec@coop.co.uk,,,,,funeral directors,Funeral Directors
WM Gilchrist Funeralcare,"Kaimhill Funeral Home, Old Crematorium, Kaimhill Rd",,AB10 7JL,Aberdeen,,UK,01224 313800,,http://www.wmgilchristfuneraldirectors.co.uk,,crexec@coop.co.uk,,,,,funeral directors,Funeral Directors
WM Gilchrist Funeralcare,"10 Mastrick Shopping Centre, Greenfern Place",,AB16 6JR,Aberdeen,,UK,01224 680189,,http://www.wmgilchristfuneraldirectors.co.uk,,crexec@coop.co.uk,,,,,funeral directors,Funeral Directors
WM Gilchrist Funeralcare,10 Old Meldrum Rd,,AB21 9DT,Aberdeen,,UK,01224 715320,,http://www.wmgilchristfuneraldirectors.co.uk,,crexec@coop.co.uk,,,,,funeral directors,Funeral Directors
Berriedale Funeral Home Ltd,Berriedale,,AB32 6TR,Westhill,,UK,01224 747774,,http://www.berriedale.net,,janet@berriedale.net,,,,,funeral directors,Funeral Directors
Portlethen Funeralcare,Unit 4 Hillside Rd,,AB12 4TQ,Aberdeen,,UK,01224 782086,,http://funeralcare.coop.co.uk,,,,,,,funeral directors,Funeral Directors
St. Albans Family Funeral Services Ltd,,AL1,,St. Albans,,UK,01727 737 610,,http://www.trustmattersfunerals.co.uk,,,,,,,funeral directors,Funeral Directors
E Seymour & Son,,AL1,,St. Albans,,UK,01727 853 091,,http://www.dignityfunerals.co.uk/index.asp?pageid=18&fd=84,,,,,,,funeral directors,Funeral Directors
