Company,Address 1,Address 2,ZIP Code,City,Region,Country,Phone,Contact,Website,Responsive,Email,Facebook,Twitter,GooglePlus,Linkedin,Keyword,Industry
Crowne Plaza Aberdeen Airport,2 International Gate,,AB21 0BE,Aberdeen,,UK,0371 4234828,,https://www.crowneplaza.com/redirect?path=hd&brandCode=cp&hotelCode=abzaa&regionCode=925&localeCode=en&_PMID=99604024&glat=MEDI,,,,,,,hotels,Hotels
St. Cyrus Village Inn,St. Cyrus,DD10,,Montrose,,UK,01674 850356,,http://www.stcyrus-hotel.co.uk,,stcyrushotel@btconnect.com,https://www.facebook.com/St-Cyrus-Village-Inn-115253995205263/,https://twitter.com/StCyrusVillage,,,hotels,Hotels
Holiday Inn Aberdeen,"Exhibition & Conference Centre, Claymore Drive",,AB23 8BL,Aberdeen,,UK,0371 4234828,,https://www.holidayinn.com/redirect?path=hd&brandCode=hi&hotelCode=abzec&regionCode=925&localeCode=en&_PMID=99604024&glat=MEDI,,,,,,,hotels,Hotels
Ibis Hotel,15 Shiprow,,AB11 5BY,ABERDEEN,,UK,01224 398800,,http://www.ibishotel.com,,,,,,,hotels,Hotels
Aberdeen Douglas Hotel Ltd,43-45 Market St,,AB11 5EL,Aberdeen,,UK,01224 582255,,http://www.aberdeendouglas.com,,reservations@aberdeendouglas.com,https://www.facebook.com/aberdeendouglas,https://twitter.com/aberdeendouglas,https://plus.google.com/+AberdeenDouglasHotel,,hotels,Hotels
Soprano St. Magnus Court Hotel,20-22 Guild St,,AB11 6NF,Aberdeen,,UK,01224 589411,,http://www.sopranohotels.co.uk,,restaurant@sopranohotels.co.uk,http://www.facebook.com/sopranoslounge,,,,hotels,Hotels
Aberdeen City Centre Hotel,9 Belmont St,,AB10 1JR,Aberdeen,,UK,01224 658406,,http://www.aberdeencitycentralhotel.co.uk,,,,,,,hotels,Hotels
Royal Hotel,1-3 Bath Street,,AB11 6BJ,ABERDEEN,,UK,01224 585152,,http://www.royalhotel.uk.com,,,,,,,hotels,Hotels
Station Hotel,78 Guild St,,AB11 6GN,Aberdeen,,UK,01224 587214,,http://www.stationhotelaberdeen.com,,,,,,,hotels,Hotels
DoubleTree by Hilton Hotel Aberdeen City Centre,Beach Boulevard,,AB24 5EF,Aberdeen,,UK,01224 633339,,http://doubletree3.hilton.com/en/hotels/united-kingdom/doubletree-by-hilton-aberdeen-city-centre-ABZDTDI/index.html?WT.mc_id=zELWAKN0EMEA1DT2DMH3LocalSearch4DGGenericx6ABZDTDI,,,,,,,hotels,Hotels
Rox Hotel LLP,21 Market St,,AB11 5PY,Aberdeen,,UK,01224 212224,,http://www.roxhotel.com,,,https://www.facebook.com/pages/Rox-Hotel/110829599003752?fref=ts,https://twitter.com/rox_hotel,,,hotels,Hotels
Carmelite,Stirling St,,AB11 6JU,Aberdeen,,UK,01224 589101,,http://www.carmelitehotels.com,,info@carmelitehotels.com,https://www.facebook.com/carmeliteaberdeen?fref=ts,,,,hotels,Hotels
Ferryhill House Hotel,169 Bon Accord St,,AB11 6UA,Aberdeen,,UK,01224 590867,,http://www.ferryhillhousehotel.co.uk,,info@ferryhillhousehotel.co.uk,https://www.facebook.com/ferryhillhousehotel/,,,,hotels,Hotels
Highland Hotel,"89-95, Crown St",,AB11 6HH,Aberdeen,,UK,01224 583685,,http://www.highlandhotel.net,,,,,,,hotels,Hotels
Premier Inn Aberdeen City Centre,Inverlair House West North St,,AB24 5AS,Aberdeen,,UK,0871 527 8008,,https://www.premierinn.com/gb/en/hotels/scotland/grampian/aberdeen/aberdeen-city-centre.html?cid=YEXT_ABEPTI,,,,,,,hotels,Hotels
Bauhaus Hotel,52-60 Langstane Place,,AB11 6EN,Aberdeen,,UK,01224 212122,,http://www.thebauhaus.co.uk,,,http://www.facebook.com/bauhausaberdeen,http://www.twitter.com/bauhausaberdeen,,,hotels,Hotels
Skene House Hotelsuites,"Skene House, 96, Rosemount Viaduct",,AB25 1NX,Aberdeen,,UK,01224 645971,,http://www.skene-house.co.uk/rosemount_suites,,reservations@skene-house.co.uk,https://www.facebook.com/Skenehouse/,https://twitter.com/skenehouse,https://plus.google.com/104505617210032910811/posts,https://www.linkedin.com/company/skene-house-hotel-suites,hotels,Hotels
Hilton Garden Inn Aberdeen City Centre,31 St. Andrew St,,AB25 1JA,Aberdeen,,UK,01224 451444,,http://hiltongardeninn3.hilton.com/en/hotels/united-kingdom/hilton-garden-inn-aberdeen-city-centre-ABZACGI/index.html?WT.mc_id=zELWAKN0EMEA1GI2DMH3LocalSearch4DGGenericx6ABZACGI,,,,,,,hotels,Hotels
Park Inn by Raddison Aberdeen,1 Justice Mill Lane,,AB11 6EQ,Aberdeen,,UK,01224 592999,,http://www.parkinn.co.uk,,giftcards@radissonhotels.com,http://www.facebook.com/parkinn,http://www.twitter.com/parkinn,https://plus.google.com/+parkinn,,hotels,Hotels
Jurys Inn,Union Square Guild St,,AB11 6GR,Aberdeen,,UK,01224 381200,,http://www.city-breaks.eu,,,,,,,hotels,Hotels
Travelodge Hotels Ltd,21-23 Justice Mill Lane,,AB11 6EQ,Aberdeen,,UK,0871 984 6459,,http://www.travelodge.co.uk,,investors@travelodge.co.uk,https://en-gb.facebook.com/travelodgeuk,https://twitter.com/TravelodgeUK,,,hotels,Hotels
Travelodge Hotels Ltd,9 Bridge St,,AB11 6JL,Aberdeen,,UK,0871 984 6117,,http://www.travelodge.co.uk,,investors@travelodge.co.uk,https://en-gb.facebook.com/travelodgeuk,https://twitter.com/TravelodgeUK,,,hotels,Hotels
The Craibstone Suites,15 Bon Accord Square,,AB11 6DJ,Aberdeen,,UK,01224 857950,,http://www.thecraibstone-suites.co.uk,,,,,,,hotels,Hotels
Mercure Caledonian Hotel,10-14 Union Terrace,,AB10 1WE,Aberdeen,,UK,0871 376 9003,,http://www.mercure.com,,,https://www.facebook.com/MercureHotels,https://twitter.com/MercureHotels,https://plus.google.com/+mercurehotels,,hotels,Hotels
Aberdeen Northern Hotel,1 Great Northern Rd,,AB24 3PS,Aberdeen,,UK,01224 483342,,http://www.aberdeennorthernhotel.com,,,,,,,hotels,Hotels
Copthorne Hotel Aberdeen,122 Huntly St,,AB10 1SU,Aberdeen,,UK,01224 630404,,https://www.millenniumhotels.com/en/aberdeen/copthorne-hotel-aberdeen/,,,,,,,hotels,Hotels
Broomfield Private Hotel,15 Balmoral Place,,AB10 6HR,Aberdeen,,UK,01224 588758,,,,,,,,,hotels,Hotels
AB11 Town House Hotel,68 Dee St,,AB11 6DS,Aberdeen,,UK,01224 582133,,http://www.ab11hotel.com,,,,,,,hotels,Hotels
Skene House Whitehall,2 Whitehall Place,,AB25 2NX,Aberdeen,,UK,01224 646600,,http://www.skene-house.co.uk/whitehall_suites,,,,,,,hotels,Hotels
Residence Inn by Marriott Aberdeen,Guestrow,,AB10 1AS,Aberdeen,,UK,020 8902 5555,,http://www.marriott.com/hotels/travel/abzri-residence-inn-aberdeen/?scid=45F93F1B-BD77-45C9-8DAB-83B6A417F6FE,,tara.bourgeois@marriott.com,http://www.facebook.com/marriottinternational,http://www.twitter.com/MarriottIntl,,http://www.linkedin.com/influencer/239587237-Arne-Sorenson,hotels,Hotels
Holiday Inn Express Aberdeen City Centre,29-43 Chapel St,,AB10 1SQ,Aberdeen,,UK,01224 623500,,https://www.ihg.com/holidayinnexpress/hotels/us/en/aberdeen/abzcc/hoteldetail?cm_mmc=YextLocal-_-GBR-_-ABZCC,,,,,,,hotels,Hotels
Dutch Mill Hotel,7 Queens Rd,,AB15 4NR,Aberdeen,,UK,01224 322555,,http://www.dutchmill.co.uk,,,https://www.facebook.com/dutchmillhotel,,,,hotels,Hotels
The Mariner Hotel,349 Great Western Rd,,AB10 6NW,Aberdeen,,UK,01224 588901,,http://www.themarinerhotel.co.uk,,info@themarinerhotel.co.uk,,,,,hotels,Hotels
