Company,Address 1,Address 2,ZIP Code,City,Region,Country,Phone,Contact,Website,Responsive,Email,Facebook,Twitter,GooglePlus,Linkedin,Keyword,Industry
Specsavers,56-58 Union Street,,AB10 1BB,Aberdeen,,UK,01224 641234,,,,,,,,,optician,Opticians
Boots Opticians Ltd,81-85 Union Street,,AB11 6BD,Aberdeen,,UK,0845 1253764,,,,,,,,,optician,Opticians
Vision Express Opticians,Unit 32 Bon Accord Centre,,AB25 1HZ,Aberdeen,,UK,01224 624263,,http://www.visionexpress.com/opticians/opticians-in-scotland/aberdeen/aberdeen/?utm_source=local&utm_medium=yext&utm_term=aberdeen&utm_campaign=yextlistings,,,https://www.facebook.com/visionexpress,https://twitter.com/VisionExpress,,,optician,Opticians
Boots Opticians,Bon Accord Centre George St,,AB25 1HZ,Aberdeen,,UK,0345 125 3768,,http://www.boots.com/opticians?cm_mmc=Yext-_-OpticiansMapListings-_-StoreNumber3455-_-Map,,,,,,,optician,Opticians
Duncan & Todd,"Unit 1, Trinity Centre, Union St",,AB11 6BE,Aberdeen,,UK,01224 572368,,http://www.duncanandtodd.com,,elgin@duncanandtodd.com,http://facebook.com/DuncanAndToddOpticians/,https://twitter.com/DuncanAndTodd,,,optician,Opticians
Jenson & Ledingham Opticians,23 Belmont St,,AB10 1JS,Aberdeen,,UK,01224 643557,,http://www.jandlopticians.co.uk,,info@jandlopticians.co.uk,https://www.facebook.com/JensonAndLedingham/,https://twitter.com/@jandlopticians,,,optician,Opticians
Straine Opticians,33-35 Thistle St,,AB10 1UY,Aberdeen,,UK,01224 624103,,http://www.straineopticians.co.uk/,,staff@straineopticians.co.uk,https://www.facebook.com/StraineOpticians,https://twitter.com/StraineOptician,,,optician,Opticians
Duncan & Todd,4 Belmont St,,AB10 1JE,Aberdeen,,UK,01224 644927,,http://www.duncanandtodd.com,,elgin@duncanandtodd.com,http://facebook.com/DuncanAndToddOpticians/,https://twitter.com/DuncanAndTodd,,,optician,Opticians
Optical Express,40 Union St,,AB10 1BD,Aberdeen,,UK,01224 453952,,http://www.opticalexpress.co.uk/store/aberdeen-union-street.html,,,,,,,optician,Opticians
justgoodspecs.com,14 Crown Terrace,,AB11 6HE,Aberdeen,,UK,01224 259026,,http://www.justgoodspecs.com,,,,,,,optician,Opticians
Duncan & Todd,14 Crown Terrace,,AB11 6HE,Aberdeen,,UK,01224 211911,,http://www.duncanandtodd.com,,elgin@duncanandtodd.com,http://facebook.com/DuncanAndToddOpticians/,https://twitter.com/DuncanAndTodd,,,optician,Opticians
Black & Lizars,37 Belmont St,,AB10 1GE,Aberdeen,,UK,01224 608945,,http://www.blackandlizars.com,,,https://www.facebook.com/blackandlizars,https://twitter.com/blackandlizars,,,optician,Opticians
Black & Lizars,510/512 Union St,,AB10 1TT,Aberdeen,,UK,01224 648231,,http://www.blackandlizars.com,,,https://www.facebook.com/blackandlizars,https://twitter.com/blackandlizars,,,optician,Opticians
Corry & Christie,185 George St,,AB25 1HX,Aberdeen,,UK,01224 631633,,http://www.corryandchristie.com,,,,,,,optician,Opticians
Duncan & Todd,"Unit 13 Westhill Shopping Centre, Old Skene Rd",,AB32 6RL,Westhill,,UK,01224 745888,,http://www.duncanandtodd.com,,elgin@duncanandtodd.com,http://facebook.com/DuncanAndToddOpticians/,https://twitter.com/DuncanAndTodd,,,optician,Opticians
The Optical Warehouse,"187-189, Rosemount Place",,AB25 2XP,Aberdeen,,UK,01224 644688,,,,,,,,,optician,Opticians
