Company,Address 1,Address 2,ZIP Code,City,Region,Country,Phone,Contact,Website,Responsive,Email,Facebook,Twitter,GooglePlus,Linkedin,Keyword,Industry
In Balance Physiotherapy & Sports Injury Clinic,"20 Willowbank House, Willowbank Rd",,AB11 6YG,Aberdeen,,UK,01224 332358,,,,,,,,,physiotherapist,Physiotherapists
Grays Physiotherapy,,AB51,,Inverurie,,UK,01467 624888,,http://www.graysphysio.com,,,,,,,physiotherapist,Physiotherapists
HSM Physiotherapy,25 Craigton Rd,,AB15 7US,Aberdeen,,UK,01224 316488,,,,,,,,,physiotherapist,Physiotherapists
AB 1,Oldmeldrum,AB51,,Inverurie,,UK,01651 851812,,,,,,,,,physiotherapist,Physiotherapists
Aberdeen Physiotherapy,99 Westburn Rd,,AB25 2SG,Aberdeen,,UK,01224 626266,,,,,,,,,physiotherapist,Physiotherapists
Healthy Chat,39 Dee St,,AB11 6DY,Aberdeen,,UK,01674 850552,,http://www.healthychat.co.uk,,hello@healthychat.co.uk,https://www.facebook.com/healthychat.co.uk,,,http://uk.linkedin.com/in/jenniferbroadley,physiotherapist,Physiotherapists
Spear Physiotherapy,"Aberdeen Sports Village, Linksfield Rd",,AB24 5RU,Aberdeen,,UK,01224 900102,,http://www.spearphysiotherapy.co.uk,,info@spearphysiotherapy.co.uk,http://www.facebook.com/SPEARSportsInjuryClinic,https://twitter.com/SPEARPhysio,,,physiotherapist,Physiotherapists
Beechgrove Physiotherapy Clinic,60 Midstocket Rd,,AB15 5JB,Aberdeen,,UK,01224 635644,,,,,,,,,physiotherapist,Physiotherapists
Beechgrove Physiotherapy Clinic,"Lynne Newcombe, 60 Mid Stocket Road",,AB15 5JB,Aberdeen,,UK,01224 455325,,,,,,,,,physiotherapist,Physiotherapists
Injury Time Physiotherapy,"Aberdeen Squash Racquets Club, Cranford Rd",,AB10 7ND,Aberdeen,,UK,1224068254,,http://www.injurytime.co.uk,,asicphysio@gmail.com,,,,,physiotherapist,Physiotherapists
West End Physiotherapy & Sports Injury Clinic,124 Union Grove,,AB10 6SB,Aberdeen,,UK,01224 585224,,,,,,,,,physiotherapist,Physiotherapists
Banks O'Dee Physiotherapy,"Banks O'Dee Sports Club, Spain Park, Abbotswell Rd",,AB12 3AB,Aberdeen,,UK,01224 893333,,http://www.bodphysiotherapy.co.uk,,,,,,,physiotherapist,Physiotherapists
Wallace Practice,"25 Craigton Rd, Mannofield",,AB15 7US,Aberdeen,,UK,1224068754,,http://www.wallacepractice.co.uk,,,,,,,physiotherapist,Physiotherapists
Injury Time Physiotherapy,Laurel Drive,,AB22 8YT,Aberdeen,,UK,07713 891491,,,,,,,,,physiotherapist,Physiotherapists
