Company,Address 1,Address 2,ZIP Code,City,Region,Country,Phone,Contact,Website,Responsive,Email,Facebook,Twitter,GooglePlus,Linkedin,Keyword,Industry
Taggart Meil Mathers,20 Bon Accord Square,,AB11 6DJ,Aberdeen,,UK,01224 472299,,http://www.tmmsolicitors.co.uk,,,,,,,solicitors,Solicitors
National Accident Helpline,,,,,,UK,0800 054 6539,,https://www.national-accident-helpline.co.uk/making-a-claim/claimonline.html?utm_source=yell-loc&utm_,,,,,,,solicitors,Solicitors
Murray & Brown,46a Union St,,AB10 1BD,Aberdeen,,UK,01224 454886,,http://www.murrayandbrown.com,,enquiries@murrayandbrown.com,,,,,solicitors,Solicitors
Jonathan Tait & Company,9 Crown Street,,AB11 6HA,Aberdeen,,UK,01224 453830,,http://www.jonathantait.co.uk,,,,,,,solicitors,Solicitors
Laurie & Co Solicitors LLP,No. 17 Victoria Street,,AB10 1PU,Aberdeen,,UK,01224 455622,,http://www.laurieandco.co.uk,,info@laurieandco.co.uk,,,,,solicitors,Solicitors
Gray & Connochie,6 Alford Place,,AB10 1YD,Aberdeen,,UK,01224 446314,,http://www.graycon.co.uk,,info@graycon.co.uk,,,,,solicitors,Solicitors
McIntosh McTaggart Solicitors,"52-54, Albert St",,AB25 1XS,Aberdeen,,UK,01224 454957,,http://www.mcintoshmctaggart.com,,info@mcintoshmctaggart.com,,,,,solicitors,Solicitors
Mullen & Co,214 Union Street,,AB10 1TL,Aberdeen,,UK,01224 959 930,,http://www.mullenandco.com,,,,,,,solicitors,Solicitors
Digby Brown,220 Union Street,,AB10 1TL,Aberdeen,,UK,0333 200 5925,,http://www.digbybrown.co.uk,,,https://www.facebook.com/DigbyBrownSolicitors,https://twitter.com/DigbyBrownLLP,https://plus.google.com/+DigbybrownCoUksolicitors,,solicitors,Solicitors
Peterkins Solicitors,100 Union Street,,AB10 1QR,Aberdeen,,UK,01224 455095,,http://www.peterkins.com,,lap@peterkins.com,https://www.facebook.com/PeterkinsSolicitors,https://twitter.com/PeterkinsNews,,http://www.linkedin.com/company/peterkins,solicitors,Solicitors
Plenderleath Runcie LLP,"Anderson House, 24, Rose St",,AB10 1UA,Aberdeen,,UK,01224 640666,,http://www.plenrun.com,,,,,,,solicitors,Solicitors
George Mathers & Co,23 Adelphi,,AB11 5BL,Aberdeen,,UK,01224 379617,,,,,,,,,solicitors,Solicitors
Mackinnons Solicitors,14 Carden Place,,AB10 1UR,Aberdeen,,UK,01224 632464,,http://www.mackinnons.com,,,,,,,solicitors,Solicitors
Gail Goodfellow Solicitor Advocate,49 Castle St,,AB11 5BB,Aberdeen,,UK,01224 878417,,,,,,,,,solicitors,Solicitors
Lefevre Litigation,70 Carden Place,,AB10 1UL,Aberdeen,,UK,01224 453354,,http://www.lefevre-litigation.co.uk,,,https://www.facebook.com/Lefevre-Litigation-145341345525873/,,https://plus.google.com/114343815230048048291/about,https://uk.linkedin.com/in/gregor-kelly-1886b64,solicitors,Solicitors
Complete Clarity Solicitors,214 Union St,,AB10 1TL,Aberdeen,,UK,01224 968142,,http://www.completeclaritysolicitors.com,,,https://www.facebook.com/CompleteClaritySolicitors,https://twitter.com/CClarityS,https://plus.google.com/+Completeclaritysolicitors?rel=publisher,http://www.linkedin.com/company/completeclarity,solicitors,Solicitors
QUANTUM CLAIMS,70 Carden Place,,AB10 1UL,ABERDEEN,,UK,01224 453376,,http://www.quantumclaims.com,,,https://www.facebook.com/ScotlandsChampion/,https://twitter.com/quantumscotland,,,solicitors,Solicitors
McTaggart Family Solicitors,"11E, 123, Half Crown Street",,AB11 6HP,Aberdeen,,UK,01224 454331,,http://www.mcintoshmctaggart.com,,info@mcintoshmctaggart.com,,,,,solicitors,Solicitors
Michael Horsman & Co,11 Back Wynd,,AB10 1JN,Aberdeen,,UK,01224 633333,,,,,,,,,solicitors,Solicitors
Thompsons Solicitors,"42-44, King St",,AB24 5TJ,Aberdeen,,UK,01224 793949,,http://www.thompsons-scotland.co.uk,,,http://www.facebook.com/pages/Thompsons-Solicitors-Scotland/130083599537,https://twitter.com/Thompsons_Sols,https://plus.google.com/+Thompsons-scotlandCoUk/posts,,solicitors,Solicitors
Balfour Budge Solicitors,"Regent House, 36, Regent Quay",,AB11 5BE,Aberdeen,,UK,01224 636272,,http://www.balfourbudge.com,,,,,,,solicitors,Solicitors
Northern Law,"46a, Union St",,AB10 1BD,Aberdeen,,UK,01224 905212,,http://www.northernlaw.co.uk/,,info@northernlaw.co.uk,,,,,solicitors,Solicitors
David S McDonald & Co,5 Golden Square,,AB10 1RD,Aberdeen,,UK,01224 267030,,,,,,,,,solicitors,Solicitors
Wilsone & Duffus,7 Golden Square,,AB10 1RD,Aberdeen,,UK,01224 651700,,http://www.key-moves.co.uk,,,,,,,solicitors,Solicitors
Patience & Buchan,10 Golden Square,,AB10 1RB,Aberdeen,,UK,01224 648222,,http://www.patienceandbuchan.com,,pearl@patienceandbuchan.com,,,,,solicitors,Solicitors
Lindsay & Kirk,39 Huntly St,,AB10 1TJ,Aberdeen,,UK,01224 641402,,,,,,,,,solicitors,Solicitors
David E Sutherland & Co,10-16 Exchequer Row,,AB11 5BW,Aberdeen,,UK,01224 472716,,,,,,,,,solicitors,Solicitors
Alex Hutcheon & Co,248 Union St,,AB10 1TN,Aberdeen,,UK,01224 623423,,http://www.mortgageandproperty.co.uk,,,,,,,solicitors,Solicitors
Mackie & Dewar,18 Bon Accord Square,,AB11 6YP,Aberdeen,,UK,01224 596341,,http://www.mackieanddewar.co.uk,,info@mackieanddewar.co.uk,,,,,solicitors,Solicitors
Fraser & Mulligan,1 Carden Place,,AB10 1UT,Aberdeen,,UK,01224 646428,,http://www.fraser-mulligan.co.uk,,mail@fraser-mulligan.co.uk,,,,,solicitors,Solicitors
Society of Advocates in Aberdeen,Concert Court Broad St,,AB10 1BS,Aberdeen,,UK,01224 640079,,http://www.socofadvocates.com/,,maria@socofadvocates.com,,,,,solicitors,Solicitors
Jamieson & Cradock,38 Holborn St,,AB10 6BT,Aberdeen,,UK,01224 593948,,,,,,,,,solicitors,Solicitors
Ledingham Chalmers LLP,"Johnstone House, 52-54, Rose St",,AB10 1HA,Aberdeen,,UK,01224 408408,,http://www.ledinghamchalmers.com,,mail@ledinghamchalmers.com,,https://twitter.com/ledchalmers,,https://www.linkedin.com/company/ledingham-chalmers,solicitors,Solicitors
BRUCE MACDONALD & CO,6 Albert Place,,AB25 1RG,Aberdeen,,UK,01224 643332,,,,,,,,,solicitors,Solicitors
A.C. Morrison & Richards LLP,18 Bon Accord Crescent,,AB11 6XY,Aberdeen,,UK,01224 573321,,http://www.acmr.co.uk,,,,,,,solicitors,Solicitors
Aberdein Considine & Co,8-9 Bon Accord Crescent,,AB11 6DN,Aberdeen,,UK,01224 589700,,http://www.acandco.com,,ask@acandco.com,https://www.facebook.com/propertyscotland/,https://twitter.com/abdnconsidine,https://plus.google.com/+AberdeinConsidineAberdeen,https://www.linkedin.com/company-beta/733491/,solicitors,Solicitors
Laurie & Co,17 Victoria St,,AB10 1PU,Aberdeen,,UK,01224 453056,,http://www.laurieandco.co.uk,,info@laurieandco.co.uk,,,,,solicitors,Solicitors
Woodward Lawson Solicitors,7 Queens Gardens,,AB15 4YD,Aberdeen,,UK,01224 907276,,http://www.woodwardlawson.com,,info@woodwardlawson.com,,,,,solicitors,Solicitors
HAMILTON WATT,4 Bon Accord Crescent,,AB11 6DH,Aberdeen,,UK,01224 586685,,http://www.hamiltonwatt.co.uk,,,,,,,solicitors,Solicitors
Pat Sinclair & Co,39 Albert St,,AB25 1XU,Aberdeen,,UK,01224 626070,,http://www.patsinclair.co.uk,,,,http://twitter.com/?status=Take a look at this site I just found: http%3A%2F%2Fwww.patsinclair.co.uk,,,solicitors,Solicitors
Andersonbain,10 Thistle St,,AB10 1XZ,Aberdeen,,UK,01224 626244,,http://www.andersonbain.co.uk,,sallan@andersonbain.co.uk,https://www.facebook.com/pages/andersonbain-llp/632657440163088,https://twitter.com/Andersonbain,https://plus.google.com/+andersonbainLLPAberdeen,https://www.linkedin.com/company/8905607?trk=vsrp_companies_cluster_name&amp;trkInfo=VSRPsearchId:909233181426856060841,solicitors,Solicitors
